                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1889,                 3.0717,                 3.3863,                 1.1804,                0.03445,                0.74615,                0.05176,                0.02979,                0.03463,                   0.75,                0.05376,                0.02442,                 1.2083,                 3.2139,                 3.1856,                 1.2081,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.1846,                 3.0019,                 3.3854,                 1.1754,                0.03367,                0.73462,                0.04911,                0.02847,                0.03455,                0.75385,                0.05297,                 0.0238,                 1.2162,                 3.2497,                 3.1871,                 1.2144,               0.095495,             0.00049505,             0.00049505
                      2,                 1.2043,                  2.943,                  3.355,                 1.1851,                0.03554,                0.76538,                0.05719,                 0.0333,                0.03626,                0.78077,                0.06091,                0.02883,                 1.1372,                 2.7518,                 3.1671,                 1.1707,               0.092784,             0.00078416,             0.00078416
                      3,                 1.0372,                 2.1524,                   3.32,                 1.1167,                0.03906,                0.94231,                0.07767,                0.04776,                 0.0389,                0.93846,                0.08604,                0.04374,                0.97221,                 2.2881,                 3.0437,                 1.0431,               0.090067,              0.0010673,              0.0010673
                      4,                0.95294,                 1.9802,                 3.1345,                 1.0785,                0.03333,                      1,                0.11836,                0.07864,                0.03321,                0.99615,                0.13152,                0.07072,                0.92432,                 2.1485,                 2.9205,                0.98637,               0.087345,              0.0013446,              0.0013446
                      5,                0.88459,                 1.8117,                 2.8779,                 1.0303,                0.03333,                      1,                0.14956,                0.10142,                0.03333,                      1,                0.16065,                0.08954,                 0.9314,                 2.1747,                 2.8183,                0.98166,               0.084616,              0.0016158,              0.0016158
                      6,                0.82873,                 1.5903,                 2.4422,                0.99525,                0.03333,                      1,                 0.1683,                0.12076,                0.03333,                      1,                0.17594,                0.10668,                0.82209,                 1.9452,                 2.6592,                0.92919,               0.081881,              0.0018812,              0.0018812
                      7,                0.87961,                 1.6797,                 1.8633,                 1.0203,                0.03333,                      1,                0.20644,                0.14203,                0.03333,                      1,                0.20336,                0.12734,                0.87345,                 1.9683,                 2.5346,                0.98176,               0.079141,              0.0021406,              0.0021406
                      8,                0.81314,                 1.5186,                 1.2246,                 1.0281,                0.03333,                      1,                0.91998,                0.62871,                0.03333,                      1,                0.92428,                0.59022,                0.86345,                 1.9872,                 2.2562,                 1.0495,               0.076394,              0.0023941,              0.0023941
                      9,                0.75507,                  1.342,                0.90019,                 0.9982,                0.90228,                0.85226,                0.93591,                0.66651,                0.90635,                0.85611,                0.94205,                 0.5943,                0.88312,                  2.342,                 1.8628,                 1.1067,               0.073642,              0.0026416,              0.0026416
